LETO,KRAJ,PROIZVAJALEC,MODEL,OPOMBE,KOLICINA,TIP,LASTNIŠTVO,PODJETJE,VIRI
1972,Ljubljana,CDC,CDC Cyber 72/24,,1,e,lasten,RRC Republiški računski center Ljubljana + Iskra Kranj + Inštitut Jožef Stefan + Univerza v Ljubljani + Ljubljanske mlekarne + GP Obnova + Združenje gozdnogospodarskih organizacij + Izobraževalna skupnost SRS + sklad Borisa Kidriča pri Raziskovalni skupnosti SRS + Klinična bolnica v Ljubljani + Republiška skupnost za cest,"71/48, 72/01, 72/14, 72/27, 72/30, 73/02, 73/04, RRC/01, 73/07"
1972,,neznan,25x neznan,,,t,terminal,>> 12 deležnikov,"75/22, 75/23"
1972,Ljubljana,IBM,IBM 360/25,,1,e,najet,RS Notranje zadeve Ljubljana + Ljubljanske občine,MNZ/01
1972,Ljubljana,IBM,IBM 370/135,,1,e,lasten,SDK Ljubljana,SDK/01
1972,Maribor,SINGER,SINGER System 10,,2,e,lasten,SDK Maribor,"PKZ/01, SDK/01"
1972,Kranj,SINGER,SINGER System 10,,1,e,lasten,SDK Kranj,SDK/01
1972,Celje,SINGER,SINGER System 10,,1,e,lasten,SDK Celje,"72/13, SDK/01"
1972,Celje,neznan,neznan,,1,e,lasten,Skupščina občine Celje,72/13
1972,Begunje,IBM,IBM 360/20,,1,e,lasten,Elan Begunje,"68/10, 69/03, 72/20, RII/01"
1972,Idrija,IBM,IBM 360/25,,1,e,lasten,Simplex Idrija + Slovenijales obrat spodnja Idrija + ETA Cerkno,"70/15, 71/08"
1972,Maribor,IBM,IBM 360/40,,1,e,skupen,ECM Ekonomski center Maribor + TAM Maribor + MTT Mariborska tekstilna tovarna Maribor + Mariborska livarna + Zlatorog + Splošna bolnišnica Maribor,"70/06, 71/08, 73/21, PKZ/01, 84/39"
1972,Ljubljana,IBM,IBM 370/135,,1,e,najet,Astra Ljubljana + Staninvest,"71/08*, 73/30"
1972,Radovljica,IBM,IBM neznan,,1,e,lasten,Intertrade IBM šolski center Radovljica + Železarna Ravne,"72/38, 73/09"
1972,Kamnik,IBM,IBM 3/10,,1,e,lasten,Titan Kamnik,"71/35, 72/04, 75/03"
1972,Kamnik,IBM,IBM 3/10,,1,e,lasten,Stol Kamnik,"71/35, 72/04, 75/03"
1972,Ruse,IBM,IBM 3/10,,1,e,najet,Tovarna dušika Ruše,72/25
1972,Metlika,HONEYWELL,HONEYWELL G118,,1,e,lasten,Beti Metlika,"72/03, 72/17, 72/40, 74/16, 74/47, RII/01"
1972,Kranj,PHILIPS,PHILIPS P359,,1,e,lasten,IBI Kranj,RII/01
1972,Trzic,PHILIPS,PHILIPS P359,,1,e,lasten,Predilnica in tkalnica Tržič,72/21
1973,Kranj,IBM,IBM 370/135,,1,e,lasten,Sava Kranj + Jelovica + Tekstilindus + KŽK Kranj + Kranjska občina,"72/05, 72/06, 72/35, 72/39, 73/28, RII/01"
1973,Ravne,IBM,IBM 370/135,,1,e,najet,Železarna Ravne,"72/18, 73/08*"
1973,Nova Gorica,IBM,IBM 370/,135??,1,e,najet,Meblo Nova Gorica,"73/24, 73/32"
