Leto,Datum,Napis na kaseti,ostalo,Oseba,skatla
2005,25.3.2005,"Aleš Košir (Hevreka), Antene za brezžična omrežja WiFi, 2. del, 29:31 min",,Aleš Košir,13_Predstavitev pipe
2005,2.6.2005,"Predstavitev k.pipe na M3C, 1:00:00",,,13_Predstavitev pipe
2005,16.11.2005,Spletne urice: Dinamične flash strani (FRY) CELA,,,15_SU
2005,23.11.2005,Spletne urice #8: Harnessing the Mozilla platform,,,15_SU
2005,20.11.2005,"Spletne urice: Marko Samatur, Nevsiljivi Javascript",,Marko Samatur,15_SU
2005,10.4.2005,"K.P. tiskovna konferenca, 00:24:00, Daniel Fischer 10. 5. 2005; Flash 2 XML, 24:00 - 1:02:00",,,04_Dokumentacija-projektor
2005,,OOOCON - Developing for open.o Martin Hollmichel 00:50:10 TCIE na koncu je #2 par minut M.Bogataj - cc,,Martin Hollmichel,10_00oCON2005 Koper
2006,25.1.2006,"Ozren Škondrič: Blog, 1/2, TCIE, #1",´01:02:00,Ozren Škodrič,12_Spletne urice
2006,25.1.2006,"Ozren Škondrič: Blog, 2/2, TCIE, #2",´00:17:00,Ozren Škodrič,12_Spletne urice
2006,23.11.2006,"E.Pintar, 3. kamera, Boštjan Špetič, 2",,Erazem Pintar,01_VIP
2006,23.11.2006,"E.Pintar, 3. kamera, Boštjan Špetič, 1",,Erazem Pintar,01_VIP
2006,23.11.2006,Erazem VIP#3 KAM1 3/3,,Erazem Pintar,01_VIP
2006,23.11.2006,VIP#3 KAS2 KAM2,,,01_VIP
2006,23.11.2006,VIP#3 KAM1 KAS1 2/3,,,01_VIP
2006,23.11.2006,VIP#3 Erazem Pintar KAM1 KAS2 2/3 ~30 min.,,Erazem Pintar,01_VIP
2006,7.12.2006,VIP#4 Kogovšek KAM1 #1,,Luka Kogovšek,01_VIP
2006,7.12.2006,VIP#4 Kogovšek KAM1 #2,,Luka Kogovšek,01_VIP
2006,7.12.2006,VIP#4 KAM2 kas2,,,01_VIP
2006,7.12.2006,VIP#4 KAM2 kas1,,,01_VIP
2006,23.11.2006,"VIP#3 Erazem Pintar kamera 2, kaseta 1",,Erazem Pint,01_VIP
2006,17.1.2006,"POT Ivan Leben: OpenGL, 1/2",,Ivan Leben,02_POT
2006,17.1.2006,"POT Ivan Leben: OpenGL, 2/2, ~ 5 min",,Ivan Leben,02_POT
2006,12.12.2006,POT SPAM,,,02_POT
2006,20.1.2006,"Tiskovna konferenca M3C 00:36:00, TCIE Skatey",,,04_Dokumentacija-projektor
2006,16.6.2006,ŠOU novinarska konferenca,,,04_Dokumentacija-projektor
2006,6.2.2006,"Safe.si : Dan varne rabe interneta, ob 15h",,,04_Dokumentacija-projektor
2006,30.1.2006,"May - linux šola nadaljevanje 20 min, Popotovanje intervju z Dašo ",,,04_Dokumentacija-projektor
2006,4.12.2006,"BIO KIBERNETIKA Damjan Miklavčič, Uvodno predavanje",,Damjan Miklavčič,06_Kognitivna
2006,11.5.2006,"Prizma: Srečanje ljubiteljev znanstvene fantastike, Douglas Adams, 1/2",,,06_Kognitivna
2006,11.5.2006,"MFRU Jaka Železnikar, OpenLine Pripovednosti / Narratives",,,06_Kognitivna
2006,11.5.2006,"MFRU Mauro Arrighi, čet 15h, cela",,Mauro Arrighi,06_Kognitivna
2006,9.5.2006,"MFRU: Annja Krautgasser IP-III, 30 min",,Annja Krautgasser,06_Kognitivna
2006,12.9.2006,Google summer of code,,Zaheda Bhorat,07_Open Office 2006
2006,12.9.2006,OpenOffice/RedOffice in China,,u Caiyong,07_Open Office 2006
2006,12.9.2006,Clocks and threads __,,Berjam Stephnen,07_Open Office 2006
2006,12.9.2006,MacOS X poling: the next step,,Eric Bachard,07_Open Office 2006
2006,12.9.2006,Run through the jungle,,Bever Mathlas,07_Open Office 2006
2006,12.9.2006,OOo documentation - online help and beyond,,Franck Peters & Fischer,07_Open Office 2006
2006,12.9.2006,OpenOffice 2x and beyond,,Erwin Tenhumberg,07_Open Office 2006
2006,12.9.2006,"Spreadsheet compatibility, functions, backwards and sideways",,Jody Goldberg,07_Open Office 2006
2006,12.9.2006,Building OpenOffice.org - what---,,Pavel Janik,07_Open Office 2006
2006,12.9.2006,Why OpenOffice,,John Maccreesh,07_Open Office 2006
2006,12.9.2006,Introduction to OpenOffice.org scripting features,,Lanrent Godard??,07_Open Office 2006
2006,12.9.2006,WordForge - localization unfrastructure for everyone,,Dwayne Bailey,07_Open Office 2006
2006,12.9.2006,Discovering the new char module,,P. A. Galmes & B. Milcke,07_Open Office 2006
2006,12.9.2006,Visual Identity of OOO now and in future,,Bernard Dippold,07_Open Office 2006
2006,12.9.2006,Clearing up OOO multithreading,,Rawme Kay,07_Open Office 2006
2006,12.9.2006,Buliding global developer comunities for openOffice.org,,Louis Suarec Potts,07_Open Office 2006
2006,12.9.2006,OpenOffice.org preformance improvements,,Hamilton: X. Yu &. Leibowit,07_Open Office 2006
2006,12.9.2006,State of the project,,Louis Suarec Potts,07_Open Office 2006
2006,12.9.2006,VBA Interoperability,,Peter Noel Grilles Bignebat,07_Open Office 2006
2006,12.9.2006,Interview,,,07_Open Office 2006
2006,12.9.2006,Redaction tool for office automation,,Garnett Yeats,07_Open Office 2006
2006,12.9.2006,"Modular building, splitting the build",,Caolar Mc Nanza,07_Open Office 2006
2006,12.9.2006,Lighting fast startup,,Michael Meeks,07_Open Office 2006
2006,12.9.2006,Brazil?? - a state of success case,,Ferreria flho??,07_Open Office 2006
2006,12.9.2006,The novell migration to ooo,,Debra Andrson,07_Open Office 2006
2006,12.9.2006,Developing and improving OpenOffice dictionaries,,Jean-Elie e Corre,07_Open Office 2006
2006,12.9.2006,G-Stream on OpenOffice,,Cedric Bosdonwat & Radek Doulik,07_Open Office 2006
2006,12.9.2006,Open document revolution,,E. Gutentag & Bob Sutor,07_Open Office 2006
2006,12.9.2006,OpenOffice.org ang GNU linux distribution,,Rene Engelhard,07_Open Office 2006
2006,12.9.2006,OpenOffice.org Builded infrastructure,,Michael Bacman??,07_Open Office 2006
2006,13.9.2006,C++ dev with OOO,,Thorsen Behrens,07_Open Office 2006
2006,13.9.2006,From trained monkey to google SoC mentor,,Frideich Skrba,07_Open Office 2006
2006,13.9.2006,Building OOO with Jan??,,Kai Backman,07_Open Office 2006
2006,13.9.2006,Moving OOO to XCancvas,,Thorsten Behrens,07_Open Office 2006
