navodila,,vrsta,proizvajalec,ime,širina,dolžina,višina,leto,serijska številka,polica,popisovalec,stanje,zgodovina
,,Komponenta,"IBM, ZDA",Vezna plošča,8,18,1,,,D7,mateja,"Na plošči polno IBM 52 srebnih, kvadratnih čipov. ",
,,Komponenta,"IBM, ZDA",Vezna plošča,17,23,2,,1,D7,mateja,"Vezna plošča, na njej nalepka IBM 3420. Gor polno IBM 52 čipov.",
,,Komponenta,"IBM, ZDA",Plošča s čipi,13,19,2,,,D7,mateja,"Na plošči veliki srebrni čii IBM 52. Okoli plastika, očitno se je nekam vtaknila.",
,,Komponenta,Tentechnology,Priključek za daljinsko upravljanje iPoda naviPro eX,13,4,2,,41029134,D5,mateja,Lepo ohranjen priključek za daljinsko upravljanje iPoda bele barve. Priložen tudi daljinec. Spredaj ima napis naviPro ex,
,,Prenosnik,"Apple, ZDA",Prenosnik Apple iBook G3,35,30,4,,M2453,D5,Nejc,Lepo ohranjen oranžen prenosnik. Zraven je polnilec z dvema adapterjema.,VH00058
,,Dlančnik/Kalkulator,"Apple, ZDA",MP3 predvajalnik Apple iPod classic 4th gen,6,10,2,,A1059,D5,Nejc,Lepo ohranjen ipod bele barve. Zadaj Apple logo in napis 40GB. Zraven tudi HDMI pretvornik in iTalk priključek (mikrofon in zvočnik).,VH00058
,,Dlančnik/Kalkulator,"Apple, ZDA",Dlančnik Apple MessagePad I30,11,20,3,,H0196,D5,Nejc,Lepo ohranjen temno zelen dlančnik. Spredaj pisan Apple logo in napos Newton.,VH00058
,,Vnosna naprava,"Sega, Japonska",Kontroler Sega Saturn,15,11,4,,MK-80100/1,D2,Nejc,Lepo ohranjen črn kontroler spredaj ima napis Sega Saturn.,VH00058
,,Vnosna naprava,"Sega, Japonska",Kontroler Sega Saturn,15,11,4,,MK-80100/2,D2,Nejc,Lepo ohranjen črn kontroler spredaj ima napis Sega Saturn.,VH00058
,,Vnosna naprava,"Sega, Japonska",Kontroler Sega Genesis,17,10,3,,1610/1,D2,Nejc,Lepo ohranjen črn kontroler spredaj ima napis Sega Genesis.,VH00058
,,Vnosna naprava,"Sega, Japonska",Kontroler Sega Genesis,17,10,3,,1610/2,D2,Nejc,Lepo ohranjen črn kontroler spredaj ima napis Sega Genesis.,VH00058
,,Vnosna naprava,"Sega, Japonska",Kontroler Sega Genesis,17,10,3,,1610/3,D2,Nejc,Lepo ohranjen črn kontroler spredaj ima napis Sega Genesis.,VH00058
,,Vnosna naprava,"Sega, Japonska",Kontroler Sega Genesis,17,10,3,,1610/4,D2,Nejc,Lepo ohranjen črn kontroler spredaj ima napis Sega Genesis.,VH00058
,,Vnosna naprava,"Sega, Japonska",Kontroler Sega Genesis,17,10,3,,1610/5,D2,Nejc,Lepo ohranjen črn kontroler spredaj ima napis Sega Genesis.,VH00058
,,Vnosna naprava,"Sega, Japonska",Kontroler Sega Genesis,17,11,3,,1657,D2,Nejc,Lepo ohranjen črn kontroler spredaj ima napis Sega Genesis Megafire.,VH00058
