navodila,,vrsta,proizvajalec,ime,širina,dolžina,višina,leto,serijska številka,število delov,popisovalec,stanje,zgodovina
,,vnosna naprava,S. T. C. Rotterdam,Joystick,14,9,14,,,,mateja,Lepo ohranjen. Spredaj napis The Archade. ,
,,vnosna naprava,,Joystick Quickshot (model: QS-201),12,14,21,,,,mateja,Lepo ohranjen. Tak profi. Spredaj napis Quickshot for professional players. ,
,,vnosna naprava,SVI,Joystick Quickshot (model: QS-113),10,14,14,,,,mateja,Lepo ohranjen. Svetlo-temno rjave barve.,
,,vnosna naprava,Spectravideo,Joystick (model: SVI-101),11,9,16,,,,mateja,Lepo ohranjen. Spredaj napis Spectravideo. ,
,,vnosna naprava,Logitech,Joystick ,16,19,23,,LCA70911356,,mateja,Lepo ohranjen. Zgoraj napis Wingman Extreme Digital Logitech. Na spodnji strani nalepka proizvajalca.,
,,vnosna naprava,Sigma,Joystick ,22,15,12,,,,mateja,"Lepo ohranjen. Generični. Zadaj ima ""legendo"" za tipke: A=Atari Commodore; B=MSX; C=Amstrad; D=Sega. Z dvema kabloma.",
,,vnosna naprava,,Joystick Quickjoy II Turbo,13,10,22,,,,mateja,Lepo ohranjen. Podnožje rdeče barve. Nalepljenih par nalepk.  Zgoraj napis Quickjoy.,
,,vnosna naprava,,Joystick,9,7,10,,,,mateja,Zelene barve. Spredaj napis Competition PRO.,
,,kalkulator,Philips,Osebni kalkulator / organizator,17,10,1,,4000029118,1997,mateja,"Lepo ohranjen. Na desnem tečaju srebrna nalepka. Zraven tudi konzola, s katero se je priključil na navaden računalnik. Pokrovček za DRAM se snema.",
,,vnosna naprava,Logitech,Miška PS/2,6,17,2,,,,mateja,"Miška, s pripadajočim vmesnikom za računalnik. ",
,,vnosna naprava,,Zunanja numerična tipkovnica,13,10,1,,,,mateja,2x zunanja numerična tipkovnica. Vsaka s svojim kablom. ,
,,vnosna naprava,Genius,Miška GM-6,6,10,3,,757087,,mateja,S tremi tipkami. Na zadnji strani nalepka proizvajalca. ,
,,vnosna naprava,QTronix,Miška  Lynx-30S,6,10,3,,M405006323,,mateja,Lepo ohranjena. Zgoraj logo proizvajalca. Na zadnji strani nalepka proizvajalca.,
,,vnosna naprava,Atari,Napajalnik,5,6,6,,,,mateja,"Part number: C016353-101. Na kablu nalepka, na katerem piše Atari2600""mini"".",
,,vnosna naprava,Atari,Napajalnik,5,6,6,,,,mateja,"Part number: C010472. Na kablu nalepka, na kateri piše Atari2600-""switch"".",
,,vnosna naprava,Atari,Napajalnik,5,6,6,,,,mateja,"479. Na kablu nalepka, na kateri piše Atari2600""6swotch"".",
,,vnosna naprava,Sharp,Napajalnik,6,11,6,,,,mateja,Zgoraj nalepka z 140550A.,
,,vnosna naprava,Behringer,Napajalnik (model MXEU6),5,8,5,,,,mateja,Lepo ohranjen.,
,,vnosna naprava,RCA,Napajalnik (model: 18V101),5,5,6,,,,mateja,"Lepo ohranjen. Na kablu nalepka, na kateri piše HOME TV POGRAMER STUDIO.",
,,vnosna naprava,Atari,Napajalnik,5,6,6,,,,mateja,"Part number: C016353-101. Na kablu nalepka, na katerem piše Atari2600""mini"".",
,,vnosna naprava,Keyspan,USB adapter ,5,8,2,,,,mateja,USB adapter. Še v originalni škatli. ,
