GENERACIJA,ZAPOREDNI,KOLICINA,LETO,PROIZVAJALEC,MODEL,OPOMBE,TIP,UPORABA,LASTNISTVO,NOSILEC,KRAJ,PARTNER,DOSTOP,VIRI
E,2,1,1971,IBM,IBM 3/10,,me,o,N,MERX,Celje,,Rudarski šolski center Velenje,"72/13, 72/16"
E,2,1,1971,IBM,IBM 3/10,,me,o,L,Induplati,Jarše,,Skupščina občine Domžale,"72/04, 74/19, 75/03, 75/44, RII/01"
E,,1,1971,BURROUGHS,BURROUGHS L2000,,me,o,L,Ilirija,Ljubljana,,,76/46
E,2,2,1971,BURROUGHS,BURROUGHS neznan,(L4000/5000?),me,o,L,Novoteks,Novo Mesto,,,
E,,1,1971,PHILIPS,PHILIPS P359,,me,o,L,Svila,Maribor,,,RII/01
G,2,1,1971,EAI,EAI 580 ,(hibridni),ae,R,S,FE - Fakulteta za elektrotehniko,Ljubljana,IJS - Inštitut Jožef Stefan,,"71/65, 74/50, IJS/04"
E,,1,1972,IBM,IBM 370/145,,E,Y,L,ŽTP - Železniško transportno podjetje,Beograd,,,72/53 
E,2,1,1972,IBM,IBM 370/145,,e,o,L,Ljubljanska banka,Ljubljana,,,"71/14, 77/48, 78/11, 79/19"
,,,1972,neznan,neznan,v vseh ljubljanskih poslovalnicah,t,o,T,,,,,71/14
C,3,1,1972,CDC,CDC Cyber 72/24,nova lokacija Jadranska Vič,E,R,S,RRC - Republiški računski center,Ljubljana,"Iskra, Izvršni svet SRS, IJS - Inštitut Jožef Stefan, Univerza v Ljubljani, Ljubljanske mlekarne, GP Obnova - Gradbeno podjetje, Združenje gozdnogospodarskih podjetij, Izobraževalna skupnost SRS, Sklad Borisa Kidriča, Klinična bolnica v Ljubljani, Republiška skupnost za ceste SRS","Zavod za statistiko SRS Ljubljana, LIP - Lesna industrija Bled, GG Bled - Gozdno gospodarstvo, Pletenine, GLIN - Gozdarstvo in lesna industrija Nazarje, VTŠ - Višja tehniška šola","71/48, 72/01, 72/14, 72/27, 72/30, 72/56, 73/02, 73/04, 73/07, 80/46, RRC/01"
,,,1972,neznan,neznan,12 deležnikov,t,R,T,,,,,"75/22, 75/23"
